1;15150
2;14968
3;14839
4;15099
5;14572
6;15276
7;14667
8;15120
9;15117
10;15408
11;14882
12;14677
13;14747
14;14563
15;14942
16;14657
17;15417
18;15428
19;14969
20;14714
21;15021
22;15114
23;15359
24;14958
25;15019
26;14975
27;15243
28;15091
29;14822
30;15144
31;15328
32;14918
33;14739
34;15146
35;14968
36;15071
37;15093
38;14834
39;14829
40;14844
41;14701
42;14942
43;15461
44;14671
45;15815
46;14823
47;14664
48;14757
49;14939
50;14748
51;15464
52;14811
53;15350
54;15585
55;14881
56;14787
57;15301
58;14919
59;14485
60;15295
61;15245
62;14891
63;15253
64;14781
65;15276
66;15017
67;14929
68;14780
69;14956
70;14551
71;15375
72;14607
73;14967
74;14823
75;14825
76;14784
77;14946
78;14412
79;15409
80;14741
81;14829
82;15051
83;14833
84;14360
85;14681
86;15217
87;14985
88;15002
89;15530
90;14748
91;14991
92;14977
93;14359
94;14706
95;14514
96;15098
97;14740
98;15009
99;14995
100;14738
