1;25300
2;24642
3;25277
4;24787
5;25023
6;24540
7;24847
8;24733
9;25201
10;24652
11;24994
12;25135
13;25241
14;24795
15;25448
16;24734
17;24800
18;24711
19;25211
20;25349
21;25505
22;25301
23;25140
24;25117
25;24983
26;25618
27;25398
28;25022
29;25022
30;24700
31;24693
32;24856
33;25509
34;24730
35;25347
36;25283
37;24514
38;25228
39;25092
40;25562
41;25244
42;25440
43;25040
44;25649
45;25112
46;25524
47;24993
48;25346
49;24871
50;25370
51;24969
52;25596
53;25350
54;24946
55;24788
56;24534
57;25131
58;25111
59;25092
60;25686
61;24212
62;25039
63;24819
64;24981
65;24863
66;25001
67;25001
68;24863
69;24671
70;24570
71;25522
72;24832
73;25234
74;24925
75;25029
76;24994
77;25037
78;25224
79;25130
80;25416
81;24887
82;25258
83;24677
84;25129
85;24963
86;25000
87;24345
88;25296
89;24909
90;25298
91;24811
92;24514
93;24497
94;24971
95;24782
96;25743
97;24863
98;25440
99;24965
100;25027
