1;9579
2;9484
3;9683
4;9430
5;9808
6;9708
7;9401
8;9410
9;9753
10;9812
11;9439
12;9502
13;9376
14;9425
15;9306
16;9420
17;9687
18;9653
19;9679
20;9793
21;9788
22;10030
23;9904
24;9202
25;9770
26;10235
27;9634
28;9758
29;9728
30;9744
31;9825
32;9593
33;9658
34;9673
35;9644
36;9494
37;9278
38;9751
39;9566
40;9650
41;9875
42;9802
43;9524
44;9356
45;9783
46;9697
47;9421
48;9438
49;9293
50;9262
51;9750
52;9420
53;9864
54;9686
55;9590
56;9630
57;9911
58;10020
59;9612
60;10024
61;9564
62;9620
63;9447
64;10108
65;8924
66;10076
67;9216
68;9712
69;9840
70;9658
71;9606
72;9688
73;9398
74;9997
75;9883
76;9650
77;9864
78;9709
79;10072
80;9219
81;9273
82;9403
83;9921
84;9602
85;9468
86;10161
87;9237
88;9682
89;9488
90;9582
91;9880
92;9552
93;9013
94;9653
95;9708
96;9733
97;9889
98;9446
99;9941
100;9292
