1;4737
2;4805
3;4735
4;5018
5;4692
6;4912
7;4715
8;4950
9;4974
10;4418
11;5035
12;4504
13;5027
14;4462
15;4701
16;4765
17;4701
18;4690
19;4593
20;4904
21;4661
22;5094
23;4522
24;4388
25;5033
26;4843
27;4643
28;4904
29;4860
30;4807
31;5130
32;5154
33;4873
34;5022
35;4614
36;4798
37;5034
38;4843
39;4836
40;4949
41;4790
42;4953
43;4732
44;4747
45;5227
46;4465
47;4536
48;5050
49;4931
50;4275
51;5106
52;4846
53;4802
54;5083
55;4992
56;4589
57;4866
58;4964
59;4585
60;4880
61;5181
62;4367
63;4853
64;4870
65;4934
66;4883
67;4616
68;4750
69;4488
70;4820
71;4819
72;4564
73;4495
74;4372
75;4537
76;4244
77;4613
78;4441
79;4928
80;4617
81;5333
82;4850
83;4640
84;4538
85;4781
86;4871
87;4803
88;4942
89;4562
90;5012
91;4305
92;4590
93;4797
94;4961
95;4448
96;4969
97;4675
98;4768
99;4710
100;4988
